id,name,weight
283,PrettyPoisond1,1
284,tinkerswings,1
285,robnash13f,1
286,lemonygelato,1
287,wufandmew,1
288,YDrgwyla,1
289,Hen2pa,1
290,VillaLaCollina,1
291,THESuper_Nana,1
292,craigdh,1
293,DeniseM04406851,1
294,ldyglfr1953,1
295,SkuterP,1
296,Opportunity4u,1
297,tom_ingram,1
298,Carol38553,1
299,orion_kp,1
300,gutntag2u,2
301,GuyGuy60,1
302,marquisdejolie,1
303,TheHandyman61,1
304,newspolice1,1
305,TrumpGirly,1
306,americantreesup,1
307,daneillesteele,1
308,JimHillTx,1
309,ellejac7900,1
310,concider8,1
311,Vixstress,1
312,Cortaman,1
313,HHSASAGH,1
314,Natasha_Tyson,1
315,karenbothma1,1
316,CocoKissack,1
317,davyhobson,1
318,akonacards,1
319,grantwjacobs,1
320,successdasilva,1
321,TodaysSkripture,1
322,jolenejacobs13,1
323,LeadStoriesCom,3
324,karinaleech14,1
325,Tequilatattoo,1
326,chocwrld,1
327,NaijaOlofofo,1
328,welshfurnishing,1
329,fionnmccumhaill,1
330,conorlynch90,1
331,MKambindji,1
332,juniormajahh,1
333,darylsturgis,1
334,stephenmcramer,1
335,CarterHarms,1
336,nellokie,1
337,Auxi13Sheila,1
338,coopah,1
339,Peacepox,1
340,darmagirl24,1
341,PHILMSMITHJR,1
342,Daity1,1
343,frenchleap,1
344,david_landis,1
345,Russell_Hord,1
346,EJLandwehr,1
347,txstarkeeper,1
348,ellienowels,1
349,ColleenPerron,1
350,scruffie63,1
351,diaz_mldiaz9,1
352,joyceheiman,1
353,415holgate,1
354,RudyGSanchez5,1
355,Jerusal53393006,1
356,Sweetygirl3125,1
357,chrisdanne2,1
358,urjkary0987,1
359,lsleblanc1,1
360,crewislife,1
361,PattiCucchiara,1
362,DavidleeDr,1
363,soberbrat2,1
364,beehappytoo,1
365,purplemoon333,1
366,mariaeke,1
367,mistyferguson,1
368,Jclar672Jmc,1
369,JoannaVincenti,1
370,DavidLeftwich68,1
371,AmaraaU,1
372,Palmtrees40,1
373,alphabetsoupmmm,1
374,arielquirozart,1
375,celest_doc,1
376,Daily_SFN,1
377,Daily_KWP,1
378,Daily_AUS,1
379,Healthy_TA,1
380,DM_Healthy,1
381,Sw_Healthy,1
382,Daily_Polius,1
383,BK_News_,1
384,hitomi_flex,1
385,News_Tex1,1
386,lov_funny,1
387,woohoo9,1
388,noticiasdl1,1
389,shortpoliticvzl,1
390,News24Politics,1
391,nannamoma,1
392,WorldWorld_news,1
393,dougleisispriet,1
394,markslily11,1
395,DoxieMama007,1
396,itzpms,1
397,NormanSie,1
398,kizlensolutions,1
399,CocoLav2,1
400,SlotzbergLinda,1
401,SototG,1
402,mcfreeman2,1
403,usaone0,1
404,srfulton22,1
405,sorensw,2
406,karenward8521,1
407,UllrichMr,1
408,dcariello1,1
409,gds44,1
410,S_shine57,1
411,ROYALMRBADNEWS,1
412,torresricardovq,2
413,Alantharp22,1
414,risekarens,1
415,debra0120,1
416,CastilloId,1
417,kokoeverett,1
418,davidfgrove111,1
419,laughin12766575,1
420,f_pleasants,1
421,Nitegammer_,1
422,ThomasTomg2001,1
423,AlRobins2015,1
424,RedDuke6,1
425,DonnaCastel,1
426,heidirippl,1
427,holmeslois12,1
428,dobiedoos,1
429,IJNIPGM,1
430,skwogler,1
431,MellaSaldavia,2
432,BobChapman2,1
433,Debi8lark,1
434,TrumpKarin,1
435,paulferrell1,1
436,joeyyeo13,1
437,Yebune,1
438,AAlzsamani,1
439,ssedog,1
440,FxyLdyRks,1
441,satin_silkn,1
442,TreadStone1973,1
443,systemmistress,1
444,KianMcIan,1
445,Eccentrie,1
446,jdp021189,1
447,Alexandra1R1,1
448,lionessofsocial,1
449,reallytrue101,1
450,DreamTeam_Prez,1
451,elkepoley,1
452,hourilo,1
453,Blu1starSky45,1
454,VeVb0PEsposSyTP,1
455,2MuchDebt,1
456,veradubs,1
457,suway7,1
458,MyShieldnRefuge,2
459,Revive_Hope,3
460,MarybethHaydon,2
461,FrontRowSeat42,1
462,revs2300,1
463,2inetLending,1
464,BeulahNix,2
465,Paul1958John,1
466,heifer109,2
467,jphawkins2009,1
468,Barbii_Dahl,1
469,llParadisell,1
470,dmccluskey101,1
471,mgan411,1
472,phillywilly25,1
473,freedom4all101,1
474,BKaysac,1
475,LDknepper,1
476,GhostlyRiderBeo,1
477,vivianmahoney,1
478,ModjajiTen,1
479,MidnightHowl1,1
480,bob194143,1
481,laweiner,1
482,ka_boom87,1
483,NiciLovelady,1
484,BlingNews_com,1
485,RealMamaChiChi,1
486,jgtragesser,1
487,fatcorm,1
488,Blarney51,1
489,VictorLynnAvera,1
490,kmannbear,1
491,albeyder1,1
492,RogersEalbert24,1
493,Cadmium77,1
494,hotUSAmom,1
495,dglend,1
496,MentorMe411,1
497,Ruthie19,1
498,TheBeowulf,1
499,Akwhavasu1,1
500,Kimdeerhunter,1
501,GeorgeBleick,1
502,SharronPettis,1
503,Hasele,1
504,theospark,1
505,rehfuss_dennis,1
506,tessyto,1
507,KittyCatGranny,1
508,vienna_1683,1
509,beckybower651,1
510,tom_tsetung,1
511,PaulStout10,1
512,Citizenpundit12,2
